iter	Logloss
911	0.298488259
912	0.2984638516
913	0.2984492669
914	0.2983889744
915	0.2983317601
916	0.2982612713
917	0.2982230303
918	0.2981983102
919	0.2981054413
920	0.2980240571
921	0.2980118008
922	0.297944607
923	0.297881306
924	0.2978082153
925	0.297723861
926	0.2976208805
927	0.2975754497
928	0.297507182
929	0.2974460818
930	0.297321939
931	0.2972931465
932	0.2972562779
933	0.2972416821
934	0.2971750884
935	0.2970955913
936	0.297045602
937	0.2969767717
938	0.2969492109
939	0.2968817969
940	0.2968712231
941	0.2968468862
942	0.2968365109
943	0.2967669296
944	0.2967161523
945	0.296667356
946	0.2965691371
947	0.2965295181
948	0.2965057907
949	0.2964099987
950	0.2963272205
951	0.2962554933
952	0.2962389354
953	0.2961349093
954	0.2960715108
955	0.296016713
956	0.2959818937
957	0.2959609244
958	0.2958667033
959	0.2958310529
960	0.2957556158
961	0.2957135833
962	0.2956424134
963	0.2955824722
964	0.2955332629
965	0.2954232102
966	0.2953620087
967	0.2953065371
968	0.2952188734
969	0.2951543385
970	0.2950925016
971	0.2950752419
972	0.295040086
973	0.2950065972
974	0.2949193819
975	0.294839325
976	0.2947422583
977	0.2946792627
978	0.2946054674
979	0.2945542513
980	0.2944799213
981	0.2943740316
982	0.2943468431
983	0.2942463995
984	0.2941669532
985	0.294142273
986	0.294029064
987	0.2939914672
988	0.2939365412
989	0.2938658615
990	0.2938023416
991	0.2937674892
992	0.2937067938
993	0.2936894078
994	0.2936370467
995	0.2936073882
996	0.2935416296
997	0.2934532267
998	0.2933654987
999	0.2932801544
